panel,instance,family,configuration,n,menu_size,gamma,threshold_count,breakpoints_per_group,clique_iterations_per_bound,adaptive_speedup,compressed_theta_fraction,clique_theta_fraction
Primary,many_breakpoints_n720_m6_g26_s14,many_breakpoints,primary,720,6,26,3601,5.001388888888889,1568.5333333333333,1.8001387555322066,0.006664815329075257,0.006664815329075257
Primary,many_breakpoints_n720_m6_g26_s15,many_breakpoints,primary,720,6,26,3601,5.001388888888889,1564.4,1.7665739912178977,0.006664815329075257,0.006664815329075257
Primary,many_breakpoints_n1440_m6_g37_s11,many_breakpoints,primary,1440,6,37,7201,5.000694444444444,3332.1176470588234,2.2354033616398574,0.003749479238994584,0.003749479238994584
Primary,many_breakpoints_n1440_m6_g37_s12,many_breakpoints,primary,1440,6,37,7201,5.000694444444444,3403.0,2.3169525324554705,0.003749479238994584,0.003749479238994584
Primary,many_breakpoints_n1440_m6_g37_s13,many_breakpoints,primary,1440,6,37,7201,5.000694444444444,3376.0,2.239703083888476,0.003749479238994584,0.003749479238994584
Primary,many_breakpoints_n1440_m6_g37_s14,many_breakpoints,primary,1440,6,37,7201,5.000694444444444,3328.0,2.259590356048067,0.003749479238994584,0.003749479238994584
Primary,many_breakpoints_n1440_m6_g37_s15,many_breakpoints,primary,1440,6,37,7201,5.000694444444444,3387.470588235294,2.3332864622703076,0.003749479238994584,0.003749479238994584
Robustness,dense_frontier_n720_m6_g1_s31,dense_frontier,sparse_budget,720,6,1,26,0.03611111111111111,2109.0,0.9138649933799396,0.11538461538461539,0.11538461538461539
Robustness,dense_frontier_n720_m6_g1_s32,dense_frontier,sparse_budget,720,6,1,26,0.03611111111111111,2021.0,0.8885648064040371,0.11538461538461539,0.11538461538461539
Robustness,dense_frontier_n720_m6_g1_s33,dense_frontier,sparse_budget,720,6,1,26,0.03611111111111111,2010.0,0.877097242034873,0.11538461538461539,0.11538461538461539
Robustness,correlated_risk_n720_m6_g1_s31,correlated_risk,sparse_budget,720,6,1,26,0.03611111111111111,1451.4285714285713,3.3637651562304933,0.11538461538461539,0.46153846153846156
Robustness,correlated_risk_n720_m6_g1_s32,correlated_risk,sparse_budget,720,6,1,26,0.03611111111111111,1334.0,1.571382630299364,0.46153846153846156,0.46153846153846156
Robustness,correlated_risk_n720_m6_g1_s33,correlated_risk,sparse_budget,720,6,1,26,0.03611111111111111,1439.2857142857142,1.6375041022769727,0.46153846153846156,0.46153846153846156
Robustness,near_tie_n720_m6_g1_s31,near_tie,sparse_budget,720,6,1,26,0.03611111111111111,1616.0,0.827676686397707,0.11538461538461539,0.11538461538461539
Robustness,near_tie_n720_m6_g1_s32,near_tie,sparse_budget,720,6,1,26,0.03611111111111111,1366.0,0.7713488453591342,0.11538461538461539,0.11538461538461539
Robustness,near_tie_n720_m6_g1_s33,near_tie,sparse_budget,720,6,1,26,0.03611111111111111,1409.0,0.769983098281447,0.11538461538461539,0.11538461538461539
Robustness,many_breakpoints_n720_m6_g1_s31,many_breakpoints,sparse_budget,720,6,1,3601,5.001388888888889,1650.4,1.9643695563672183,0.0008331019161344071,0.002499305748403221
Robustness,many_breakpoints_n720_m6_g1_s32,many_breakpoints,sparse_budget,720,6,1,3601,5.001388888888889,1611.4,1.8645846811651214,0.0008331019161344071,0.002499305748403221
Robustness,many_breakpoints_n720_m6_g1_s33,many_breakpoints,sparse_budget,720,6,1,3601,5.001388888888889,1615.8,1.959044857849465,0.0008331019161344071,0.002499305748403221
Robustness,dense_frontier_n720_m12_g26_s31,dense_frontier,wide_menu,720,12,26,26,0.03611111111111111,2372.875,5.124876821670919,0.11538461538461539,0.46153846153846156
Robustness,dense_frontier_n720_m12_g26_s32,dense_frontier,wide_menu,720,12,26,26,0.03611111111111111,2340.375,5.103134090006999,0.11538461538461539,0.46153846153846156
Robustness,dense_frontier_n720_m12_g26_s33,dense_frontier,wide_menu,720,12,26,26,0.03611111111111111,2402.875,2.383889413800175,0.46153846153846156,0.46153846153846156
Robustness,correlated_risk_n720_m12_g26_s31,correlated_risk,wide_menu,720,12,26,26,0.03611111111111111,1810.3333333333333,2.2382109727407844,0.5,0.5
Robustness,correlated_risk_n720_m12_g26_s32,correlated_risk,wide_menu,720,12,26,26,0.03611111111111111,1766.4444444444443,2.3936945208659,0.46153846153846156,0.5
Robustness,correlated_risk_n720_m12_g26_s33,correlated_risk,wide_menu,720,12,26,26,0.03611111111111111,1790.5555555555557,2.283829390096702,0.5,0.5
Robustness,near_tie_n720_m12_g26_s31,near_tie,wide_menu,720,12,26,26,0.03611111111111111,1626.625,2.1172889574184257,0.46153846153846156,0.46153846153846156
Robustness,near_tie_n720_m12_g26_s32,near_tie,wide_menu,720,12,26,26,0.03611111111111111,1692.625,2.2102888194732313,0.46153846153846156,0.46153846153846156
Robustness,near_tie_n720_m12_g26_s33,near_tie,wide_menu,720,12,26,26,0.03611111111111111,1760.857142857143,4.359814934894177,0.11538461538461539,0.46153846153846156
Robustness,many_breakpoints_n720_m12_g26_s31,many_breakpoints,wide_menu,720,12,26,7921,11.001388888888888,2423.0,1.8072404246420422,0.00340866052266128,0.00340866052266128
Robustness,many_breakpoints_n720_m12_g26_s32,many_breakpoints,wide_menu,720,12,26,7921,11.001388888888888,2393.0,1.7390146221260734,0.00340866052266128,0.00340866052266128
Robustness,many_breakpoints_n720_m12_g26_s33,many_breakpoints,wide_menu,720,12,26,7921,11.001388888888888,2508.9411764705883,1.8920201846303444,0.00340866052266128,0.00340866052266128
