execution_order,family,instance,method,n,repeat,seconds,seed
second,many_breakpoints,many_breakpoints_n360_m6_g18_s52,clique,360,0,0.07960345898754895,52
first,many_breakpoints,many_breakpoints_n360_m6_g18_s52,clique,360,1,0.07990604199585505,52
second,many_breakpoints,many_breakpoints_n360_m6_g18_s52,clique,360,2,0.08073449999210425,52
second,many_breakpoints,many_breakpoints_n720_m6_g26_s51,compressed,720,0,0.19989691697992384,51
first,many_breakpoints,many_breakpoints_n720_m6_g26_s51,compressed,720,1,0.19952250001369976,51
second,many_breakpoints,many_breakpoints_n720_m6_g26_s51,compressed,720,2,0.19919504100107588,51
first,many_breakpoints,many_breakpoints_n720_m6_g26_s51,clique,720,0,0.23014995799167082,51
second,many_breakpoints,many_breakpoints_n720_m6_g26_s51,clique,720,1,0.2292777500115335,51
first,many_breakpoints,many_breakpoints_n720_m6_g26_s51,clique,720,2,0.22917366700130515,51
first,many_breakpoints,many_breakpoints_n720_m6_g26_s52,compressed,720,0,0.200146000017412,52
second,many_breakpoints,many_breakpoints_n720_m6_g26_s52,compressed,720,1,0.20231020799838006,52
first,many_breakpoints,many_breakpoints_n720_m6_g26_s52,compressed,720,2,0.20169212500331923,52
second,many_breakpoints,many_breakpoints_n720_m6_g26_s52,clique,720,0,0.2202937080000993,52
first,many_breakpoints,many_breakpoints_n720_m6_g26_s52,clique,720,1,0.21972591598751023,52
second,many_breakpoints,many_breakpoints_n720_m6_g26_s52,clique,720,2,0.22030187500058673,52
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,compressed,1440,0,0.44855749999987893,51
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,compressed,1440,1,0.45144941698526964,51
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,compressed,1440,2,0.4475971659994684,51
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,clique,1440,0,0.8199151250009891,51
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,clique,1440,1,0.8206427909899503,51
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,clique,1440,2,0.8152970829978585,51
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,compressed,1440,0,0.42998704098863527,52
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,compressed,1440,1,0.4249222920043394,52
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,compressed,1440,2,0.4270718339830637,52
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,clique,1440,0,0.8094861249846872,52
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,clique,1440,1,0.8033991660049651,52
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,clique,1440,2,0.8027535830042325,52
