execution_order,family,instance,method,n,repeat,seconds,seed
second,many_breakpoints,many_breakpoints_n360_m6_g18_s52,clique,360,2,0.14921549998689443,52
second,many_breakpoints,many_breakpoints_n720_m6_g26_s51,compressed,720,0,0.21641104202717543,51
first,many_breakpoints,many_breakpoints_n720_m6_g26_s51,compressed,720,1,0.22167395893484354,51
second,many_breakpoints,many_breakpoints_n720_m6_g26_s51,compressed,720,2,0.21136754099279642,51
first,many_breakpoints,many_breakpoints_n720_m6_g26_s51,clique,720,0,0.43468366703018546,51
second,many_breakpoints,many_breakpoints_n720_m6_g26_s51,clique,720,1,0.43605420901440084,51
first,many_breakpoints,many_breakpoints_n720_m6_g26_s51,clique,720,2,0.43559495790395886,51
first,many_breakpoints,many_breakpoints_n720_m6_g26_s52,compressed,720,0,0.218919666018337,52
second,many_breakpoints,many_breakpoints_n720_m6_g26_s52,compressed,720,1,0.21947833406738937,52
first,many_breakpoints,many_breakpoints_n720_m6_g26_s52,compressed,720,2,0.2185724579030648,52
second,many_breakpoints,many_breakpoints_n720_m6_g26_s52,clique,720,0,0.4199746659724042,52
first,many_breakpoints,many_breakpoints_n720_m6_g26_s52,clique,720,1,0.4180521670496091,52
second,many_breakpoints,many_breakpoints_n720_m6_g26_s52,clique,720,2,0.41884004103485495,52
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,compressed,1440,0,0.4769406249979511,51
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,compressed,1440,1,0.4812566250329837,51
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,compressed,1440,2,0.4737346670590341,51
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,clique,1440,0,1.5555931669659913,51
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,clique,1440,1,1.5542393330251798,51
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s51,clique,1440,2,1.553724083933048,51
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,compressed,1440,0,0.475024624960497,52
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,compressed,1440,1,0.4802280409494415,52
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,compressed,1440,2,0.471375250024721,52
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,clique,1440,0,1.5292041250504553,52
first,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,clique,1440,1,1.5318816249491647,52
second,many_breakpoints,many_breakpoints_n1440_m6_g37_s52,clique,1440,2,1.527497167000547,52
